RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
1,Motor Vehicle Theft,202200030697,800,ROCK CREEK RD,CPD,2022/10/24 03:39:36+00,2339,"Bise, Collin"
2,Suspicious Activity,202200030687,800,RIDGE ST,CPD,2022/10/24 02:52:01+00,2252,"Vlasis, Christopher"
3,Larceny - From Motor Vehicle,202200030677,2100,JEFFERSON PARK AVE,CPD,2022/10/23 23:02:08+00,1902,"Venereo, Arturo"
4,Hit and Run,202200030671,2400,FONTAINE AVE,CPD,2022/10/23 21:19:04+00,1719,"Darby, Michael"
5,Vandalism,202200030669,100,E MAIN ST,CPD,2022/10/23 20:26:09+00,1626,"Whitten, Tobyn"
6,Assault Aggravated,202200030660,,4TH ST NW @ PRESTON AVE,CPD,2022/10/23 17:35:08+00,1335,"Hopiane, Sayd"
7,Assault Simple,202200030659,1100,HARRIS ST,CPD,2022/10/23 16:49:43+00,1249,"Shiflett, Tammy"
8,Burglary,202200030655,700,PARK ST,CPD,2022/10/23 14:18:45+00,1018,"Shiflett, Tammy"
9,Assist Citizen - Mental/TDO/ECO,202200030646,500,W US 250-BYPASS,CPD,2022/10/23 08:02:32+00,0402,"Wells, Matthew"
10,Vandalism,202200030645,1000,"ALTAVISTA AVE, A",CPD,2022/10/23 07:25:26+00,0325,"Vlasis, Christopher"
11,Assault Aggravated,202200030643,200,W MAIN ST,CPD,2022/10/23 04:55:05+00,0055,"Whitten, Tobyn"
12,Motor Vehicle Theft,202200030605,1800,EMMET ST N,CPD,2022/10/22 21:38:10+00,1738,"Mullins, James"
13,Assault Intimidation,202200030594,200,E MAIN ST,CPD,2022/10/22 19:13:08+00,1513,"Pendleton, Eric"
14,Vandalism,202200030588,100,OAKHURST CIR,CPD,2022/10/22 17:37:52+00,1337,"Eckenroth, Rachel"
15,Unauthorized Use of Motor Veh,202200030571,500,1ST ST N,CPD,2022/10/22 14:21:36+00,1021,"Hopiane, Sayd"
16,Missing Person-juvenile,202200030564,800,RIDGE ST,CPD,2022/10/22 11:23:27+00,0723,"Pendleton, Eric"
17,Hit and Run,202200030559,1300,KENWOOD LN,CPD,2022/10/22 08:36:05+00,0436,"Wells, Matthew"
18,Larceny - Of Veh Parts/Access,202200030556,900,BOLLING AVE,CPD,2022/10/22 07:29:31+00,0329,"Blackwell, Ryan"
19,Assault Intimidation,202200030538,100,14TH ST NW,CPD,2022/10/22 05:27:31+00,0127,"Lowry, Brent"
20,Suspicious Activity,202200030525,300,"15TH ST NW, 210",CPD,2022/10/22 03:36:59+00,2336,"Darby, Michael"
21,Driving Under the Influence,202200030524,2000,IVY RD,CPD,2022/10/22 03:24:29+00,2324,"Aguilera, Natalia"
22,Larceny - All Other,202200030501,400,W MAIN ST,CPD,2022/10/21 23:32:39+00,1932,"Middleton, Matthew"
23,Vandalism,202200030494,200,W MAIN ST,CPD,2022/10/21 21:06:27+00,1706,"Smith, Daniel"
24,Hit and Run,202200030487,,10TH ST NW / W MAIN ST,CPD,2022/10/21 19:42:39+00,1542,"Darby, Michael"
25,Suspicious Activity,202200030476,1200,LONG ST,CPD,2022/10/21 18:20:21+00,1420,"Bowlin, Jacob"
26,Larceny - All Other,202200030469,2100,"JEFFERSON PARK AVE, 15",CPD,2022/10/21 15:55:43+00,1155,"Arndt, Brian"
27,Larceny - Of Veh Parts/Access,202200030458,1700,ALLIED ST,CPD,2022/10/21 15:13:43+00,1113,"Arndt, Brian"
28,Larceny - Theft from Building,202200030451,2300,DELLMEAD LN,CPD,2022/10/21 14:29:56+00,1029,"Hopiane, Sayd"
29,Larceny - Of Veh Parts/Access,202280000916,,"1029 PRESTON AVENUE AVE, A",CPD,2022/10/21 14:10:02+00,1010,"Moje, Ashley"
30,Suspicious Activity,202200030439,300,11TH ST NW,CPD,2022/10/21 12:58:06+00,0858,"Green, Bryan"
31,Larceny - From Motor Vehicle,202200030437,900,ALBEMARLE ST,CPD,2022/10/21 12:24:29+00,0824,"Hopiane, Sayd"
32,Drunkeness DIP,202200030421,100,OLD PRESTON AVE,CPD,2022/10/21 06:25:46+00,0225,"Lowry, Brent"
33,Assist Citizen - Mental/TDO/ECO,202200030419,900,EMMET ST N,CPD,2022/10/21 06:16:23+00,0216,"Miller, Devin"
34,Assault Simple,202200030384,300,E MAIN ST,CPD,2022/10/21 02:58:02+00,2258,"Lowry, Brent"
35,Assault Aggravated,202200030382,100,"LANKFORD AVE, 3",CPD,2022/10/21 02:12:21+00,2212,"Blackwell, Ryan"
36,Misc - Criminal Call,202200030381,800,FRANKLIN ST,CPD,2022/10/21 02:12:16+00,2212,"Bentz, Benjamin "
37,Weapons Violations,202200030377,1400,SUNRISE PARK LN,CPD,2022/10/20 23:59:45+00,1959,"Smith, Daniel"
38,Missing Person-adult,202200030378,600,E MAIN ST,CPD,2022/10/20 23:47:15+00,1947,"Lowe, Courtney"
39,Drunkeness DIP,202200030374,1000,EMMET ST N,CPD,2022/10/20 23:38:53+00,1938,"Hopiane, Sayd"
40,Assault Simple,202200030360,800,RIDGE ST,CPD,2022/10/20 21:37:20+00,1737,"Smith, Daniel"
41,Lost/FoundProperty,202280000915,1100,MILLMONT ST,CPD,2022/10/20 20:46:14+00,1646,"Moje, Ashley"
42,Hit and Run,202200030353,,ELLIOTT AVE / 1ST ST S,CPD,2022/10/20 19:40:20+00,1540,"Lowe, Courtney"
43,Larceny - From Motor Vehicle,202200030350,500,PATON ST,CPD,2022/10/20 18:58:17+00,1458,"Middleton, Matthew"
44,Larceny - Of Veh Parts/Access,202280000914,800,WALKER SQ,CPD,2022/10/20 18:23:41+00,1423,"Moje, Ashley"
45,Larceny - Theft from Building,202280000913,400,"11TH ST NE, C22",CPD,2022/10/20 16:56:37+00,1256,"Moje, Ashley"
46,Vandalism,202200030349,1100,5TH ST SW,CPD,2022/10/20 16:56:16+00,1256,"Shiflett, Tammy"
47,Suspicious Activity,202200030341,1000,CHERRY AVE,CPD,2022/10/20 16:35:08+00,1235,"Green, Bryan"
48,Trespass,202200030338,1000,"ALTAVISTA AVE, A",CPD,2022/10/20 16:07:10+00,1207,"Green, Bryan"
49,Fraud-wire fraud,202280000912,,ROSE HILL DR,CPD,2022/10/20 15:33:19+00,1133,"Moje, Ashley"
50,Lost/FoundProperty,202200030330,800,E MARKET ST,CPD,2022/10/20 14:44:49+00,1044,"Shiflett, Tammy"
51,Motor Vehicle Theft,202200030324,1500,GROVE RD,CPD,2022/10/20 13:10:11+00,0910,"Green, Bryan"
