RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
1,Larceny - All Other,202200030104,800,ELLIOTT AVE,CPD,2022/10/18 01:08:59+00,2108,"Lowe, Courtney"
2,Burglary,202200030099,800,RAYMOND RD,CPD,2022/10/18 00:31:50+00,2031,"Lowe, Courtney"
3,Assault Aggravated,202200030096,900,W MAIN ST,CPD,2022/10/17 23:40:34+00,1940,"Alfonso, Sean"
4,Assist Citizen - Mental/TDO/ECO,202200030087,600,E MARKET ST,CPD,2022/10/17 22:24:21+00,1824,"Lowe, Courtney"
5,Assault Simple,202200030080,1400,UNIVERSITY AVE,CPD,2022/10/17 19:58:39+00,1558,"Houchens, Logan"
6,Trespass,202200030061,500,PRESTON AVE,CPD,2022/10/17 17:35:18+00,1335,"Houchens, Jamell"
7,Motor Vehicle Theft,202200030053,600,14TH ST NW,CPD,2022/10/17 14:54:03+00,1054,"Nash, Darius"
8,Larceny - Theft from Building,202280000894,100,BAYLOR LN,CPD,2022/10/17 13:24:02+00,0924,"Moje, Ashley"
9,Larceny - From Motor Vehicle,202280000893,1400,FOREST RIDGE RD,CPD,2022/10/17 12:39:53+00,0839,"Moje, Ashley"
10,Drug/Narcotics Violation,202200030029,1700,HYDRAULIC RD,CPD,2022/10/17 10:40:25+00,0640,"Curry, Brian"
11,Hit and Run,202200029991,800,"W MAIN ST, 401",CPD,2022/10/17 01:57:38+00,2157,"Darby, Michael"
12,Domestic Disturbance,202200029985,1800,FIELD RD,CPD,2022/10/17 00:45:21+00,2045,"Bentz, Benjamin "
13,Assist Citizen - Mental/TDO/ECO,202200029982,1300,W MAIN ST,CPD,2022/10/17 00:20:32+00,2020,"Darby, Michael"
14,Assist Citizen - Mental/TDO/ECO,202200029981,2300,SHELBY DR,CPD,2022/10/16 23:49:10+00,1949,"Venereo, Arturo"
15,Hit and Run,202200029980,1900,EMMET ST N,CPD,2022/10/16 23:36:04+00,1936,"Venereo, Arturo"
16,Hit and Run,202200029979,,BAILEY RD @ 5TH ST,CPD,2022/10/16 23:08:33+00,1908,"Alfonso, Sean"
17,Lost/FoundProperty,202280000892,1500,UNIVERSITY AVE,CPD,2022/10/16 22:11:08+00,1811,"Moje, Ashley"
18,Misc - Criminal Call,202200029970,1300,POPLAR ST,CPD,2022/10/16 20:11:11+00,1611,"Bentz, Benjamin "
19,Alarm - True,202200029962,1000,EMMET ST N,CPD,2022/10/16 19:04:22+00,1504,"Hopiane, Sayd"
20,Larceny - From Motor Vehicle,202280000891,1600,CENTER AVE,CPD,2022/10/16 17:48:53+00,1348,"Moje, Ashley"
21,Forgery/Counterfeiting,202200029952,1800,MONTICELLO RD,CPD,2022/10/16 17:08:08+00,1308,"Eckenroth, Rachel"
22,Lost/FoundProperty,202200029936,700,BOLLING AVE,CPD,2022/10/16 15:33:08+00,1133,"Eckenroth, Rachel"
23,Assault Simple,202200029927,800,"HARDY DR, B",CPD,2022/10/16 13:17:11+00,0917,"Houchens, Jamell"
24,Assault Simple,202200029918,600,PRESTON AVE,CPD,2022/10/16 07:00:46+00,0300,"Vlasis, Christopher"
25,Assault Aggravated,202200029917,800,"HARDY DR, D",CPD,2022/10/16 06:39:05+00,0239,"Curry, Brian"
26,Assault Simple,202200029913,100,"14TH ST NW, B",CPD,2022/10/16 05:47:40+00,0147,"Curry, Brian"
27,Assault Simple,202200029912,1600,UNIVERSITY AVE,CPD,2022/10/16 05:36:13+00,0136,"Samar, Jack"
28,Larceny - From Motor Vehicle,202280000890,700,DELEVAN ST,CPD,2022/10/16 03:56:57+00,2356,"Moje, Ashley"
29,Suspicious Activity,202200029886,1100,"WERTLAND ST, 108",CPD,2022/10/16 02:25:53+00,2225,"Darby, Michael"
